=== Haplotype Assignments ===
Region: chr17:10990000-10990100
Total reads: 23

--- Summary ---
Haplotype 1: 0 reads
Haplotype 2: 0 reads
Unassigned:  23 reads

--- Per-Read Assignments ---
Read Name                                      Haplotype   Confidence
----------------------------------------------------------------------
m64043_200201_000449/111608521/ccs                     U        0.000
m64043_200202_062937/175506747/ccs                     U        0.000
m64043_200130_175216/9307961/ccs                       U        0.000
m64043_200201_000449/13763893/ccs                      U        0.000
m64043_200130_175216/134875592/ccs                     U        0.000
m64043_200201_000449/52758562/ccs                      U        0.000
m64043_200202_062937/27658491/ccs                      U        0.000
m64043_200201_000449/110562127/ccs                     U        0.000
m64043_200201_000449/128125375/ccs                     U        0.000
m64043_200128_181438/121440456/ccs                     U        0.000
m64043_200201_000449/178522199/ccs                     U        0.000
m64043_200201_000449/27920254/ccs                      U        0.000
m64043_200128_181438/143787216/ccs                     U        0.000
m64043_200201_000449/72156041/ccs                      U        0.000
m64043_200128_181438/134416200/ccs                     U        0.000
m64043_200202_062937/96078320/ccs                      U        0.000
m64043_200130_175216/122814648/ccs                     U        0.000
m64043_200128_181438/162530336/ccs                     U        0.000
m64043_200201_000449/84805167/ccs                      U        0.000
m64043_200202_062937/133957540/ccs                     U        0.000
m64043_200201_000449/105972694/ccs                     U        0.000
m64043_200128_181438/2884910/ccs                       U        0.000
m64043_200202_062937/71370964/ccs                      U        0.000
