=== Read Summary ===
BAM file: NA19240_2020_merged.ccs.hg38.aligned.chr17_10958130_11017414.bam
Region: chr17:10958130-11017414
Total reads: 214

--- Coordinate Range ---
Leftmost alignment start: 10929114
Rightmost alignment end:  11041957

--- Read Lengths ---
Min read length: 13710
Max read length: 30445
Mean read length: 18902

--- Mapping Quality ---
Mean MAPQ: 60.0

--- Strand Distribution ---
Forward: 96 (44.9%)
Reverse: 118 (55.1%)

--- CIGAR Operations ---
Match operations:     21062 (3283450 bases)
Insertion operations: 2516 (2987 bases)
Deletion operations:  5174 (7297 bases)
Soft-clip operations: 100 (758485 bases)

--- First 20 Reads ---
Name                                               Start        End   MAPQ   SeqLen  Strand
------------------------------------------------------------------------------------------
m64043_200202_062937/104137765/ccs              10929114   10959517     60    30347     REV
m64043_200130_175216/78447554/ccs               10933269   10959550     60    26219     REV
m64043_200202_062937/109969526/ccs              10937591   10958569     60    20935     FWD
m64043_200201_000449/86903561/ccs               10937976   10958528     60    20489     FWD
m64043_200128_181438/30999377/ccs               10939630   10960095     60    20423     REV
m64043_200130_175216/34144267/ccs               10941606   10960319     60    18675     FWD
m64043_200130_175216/37618816/ccs               10942407   10961689     60    19257     REV
m64043_200128_181438/72811653/ccs               10942593   10964598     60    21965     FWD
m64043_200201_000449/110560834/ccs              10942801   10967844     60    24976     FWD
m64043_200201_000449/81725286/ccs               10943390   10958949     60    15527     REV
m64043_200202_062937/142475776/ccs              10943668   10958959     60    15273     FWD
m64043_200130_175216/121636762/ccs              10944147   10960199     60    16048     REV
m64043_200128_181438/109707382/ccs              10944310   10962583     60    18264     FWD
m64043_200130_175216/153487183/ccs              10944327   10969688     60    25364     FWD
m64043_200128_181438/45943469/ccs               10944880   10960061     60    15176     REV
m64043_200128_181438/171116620/ccs              10945469   10961169     60    15688     REV
m64043_200202_062937/140968905/ccs              10945771   10966271     60    20407     REV
m64043_200130_175216/102697520/ccs              10946377   10965108     60    18714     FWD
m64043_200130_175216/91032148/ccs               10946560   10977000     60    30445     REV
m64043_200130_175216/94832452/ccs               10947603   10963490     60    15873     REV
